Weight,Equation,Result,Answer,WordRem,PracticeMode,SpanSque,Span,SpanGroup,EquationLev,WordSque
1,13+4-5=,14,2,猪,yes,1,2,1,1,3
1,5+6-7=,4,1,鼠,yes,2,2,1,1,1
1,10+6-8=,8,1,虎,no,1,2,1,1,12
1,10+8-11=,8,2,猴,no,2,2,1,1,7
1,2+7-5=,6,2,鸡,no,1,2,2,1,9
1,9+3-8=,2,2,鼠,no,2,2,2,1,11
1,15+7-9=,13,1,龙,no,1,2,3,1,10
1,17+6-9=,16,2,虎,no,2,2,3,1,6
1,8+4-6=,6,1,兔,no,1,3,1,1,2
1,3+5-6=,4,2,羊,no,2,3,1,1,8
1,13+9-5=,17,1,鸡,no,3,3,1,1,5
1,6+7-4=,9,1,蛇,no,1,3,2,1,3
1,3+14-7=,11,2,牛,no,2,3,2,1,4
1,8+2-4=,3,2,马,no,3,3,2,1,7
1,26+22-7=,41,1,猪,no,1,4,1,2,6
1,26+3-6=,23,1,蛇,no,2,4,1,2,12
1,32+3-14=,41,2,马,no,3,4,1,2,10
1,39+11-8=,39,2,狗,no,4,4,1,2,9
1,12+38-2=,46  ,1,猴,no,1,4,2,2,1
1,38+11-4=,35,2,鸡,no,2,4,2,2,11
1,23+2-11=,23,2,蛇,no,3,4,2,2,7
1,18+13-9=,22,1,羊,no,4,4,2,2,4
1,25+14-8=,31,1,马,no,1,5,1,2,3
1,19+22-5=,41,2,鼠,no,2,5,1,2,5
1,21+8-11=,17,2,牛,no,3,5,1,2,10
1,34+7-12=,34,2,蛇,no,4,5,1,2,8
1,27+13-9=,31,1,猪,no,5,5,1,2,11
1,25+22-7=,29,2,牛,no,1,5,2,2,9
1,34+7-12=,29,1,狗,no,2,5,2,2,6
1,39+6-11=,34,1,龙,no,3,5,2,2,2
1,23+5-18=,10,1,虎,no,4,5,2,2,1
1,41+3-24=,23,2,猴,no,5,5,2,2,12
1,67+33-4=,97,2,鼠,no,1,6,1,3,1
1,45+7-12=,52,2,狗,no,2,6,1,3,6
1,53+30-6=,77,1,羊,no,3,6,1,3,8
1,69+3-10=,62,2,兔,no,4,6,1,3,2
1,59+7-30=,36,1,鸡,no,5,6,1,3,10
1,44+53-2=,95,1,狗,no,6,6,1,3,3
1,56+28-6=,78,1,马,no,1,6,2,3,12
1,44+9-25=,27,2,鼠,no,2,6,2,3,7
1,38+30-7=,58,2,虎,no,3,6,2,3,5
1,57+6-19=,44,1,猴,no,4,6,2,3,11
1,47+33-6=,68,2,羊,no,5,6,2,3,4
1,74+4-43=,31,2,牛,no,6,6,2,3,9
1,65+30-3=,92,1,龙,no,1,7,1,3,12
1,67+7-20=,43,2,兔,no,2,7,1,3,6
1,65+8-32=,41,1,虎,no,3,7,1,3,3
1,34+35-7=,62,1,马,no,4,7,1,3,11
1,48+8-20=,36,1,猪,no,5,7,1,3,9
1,34+43-6=,71,1,虎,no,6,7,1,3,8
1,62+38-9=,59,2,狗,no,7,7,1,3,4
1,84+4-47=,41,1,龙,no,1,7,2,3,1
1,49+30-4=,76,2,猴,no,2,7,2,3,7
1,56+30-5=,81,1,蛇,no,3,7,2,3,5
1,25+6-20=,21,1,兔,no,4,7,2,3,2
1,55+27-7=,66,2,猪,no,5,7,2,3,10
1,38+9-20=,21,2,鸡,no,6,7,2,3,4
