Weight	Sympics	-1	Canswer	LocaRem	PracticeMode	SpanSque	Span	SpanGroup	-1	-1
1	symm71	-1	2	11	yes	1	2	1	-1	-1
1	symm19	-1	1	8	yes	2	2	1	-1	-1
1	symm90	-1	2	15	no	1	2	1	-1	-1
1	symm41	-1	1	3	no	2	2	1	-1	-1
1	symm39	-1	1	14	no	1	2	2	-1	-1
1	symm77	-1	2	5	no	2	2	2	-1	-1
1	symm12	-1	1	1	no	1	2	3	-1	-1
1	symm72	-1	2	12	no	2	2	3	-1	-1
1	symm33	-1	1	7	no	1	3	1	-1	-1
1	symm74	-1	2	9	no	2	3	1	-1	-1
1	symm55	-1	2	0	no	3	3	1	-1	-1
1	symm23	-1	1	10	no	1	3	2	-1	-1
1	symm81	-1	2	2	no	2	3	2	-1	-1
1	symm22	-1	1	4	no	3	3	2	-1	-1
1	symm57	-1	2	8	no	1	4	1	-1	-1
1	symm94	-1	2	13	no	2	4	1	-1	-1
1	symm25	-1	1	15	no	3	4	1	-1	-1
1	symm43	-1	1	0	no	4	4	1	-1	-1
1	symm65	-1	2	14	no	1	4	2	-1	-1
1	symm7	-1	1	11	no	2	4	2	-1	-1
1	symm89	-1	2	3	no	3	4	2	-1	-1
1	symm37	-1	1	1	no	4	4	2	-1	-1
1	symm40	-1	1	10	no	1	5	1	-1	-1
1	symm76	-1	2	4	no	2	5	1	-1	-1
1	symm69	-1	2	7	no	3	5	1	-1	-1
1	symm13	-1	1	12	no	4	5	1	-1	-1
1	symm87	-1	2	9	no	5	5	1	-1	-1
1	symm15	-1	1	14	no	1	5	2	-1	-1
1	symm10	-1	1	8	no	2	5	2	-1	-1
1	symm84	-1	2	1	no	3	5	2	-1	-1
1	symm28	-1	1	15	no	4	5	2	-1	-1
1	symm68	-1	2	2	no	5	5	2	-1	-1
1	symm79	-1	2	2	no	1	6	1	-1	-1
1	symm17	-1	1	0	no	2	6	1	-1	-1
1	symm75	-1	2	13	no	3	6	1	-1	-1
1	symm85	-1	2	4	no	4	6	1	-1	-1
1	symm18	-1	1	6	no	5	6	1	-1	-1
1	symm34	-1	1	15	no	6	6	1	-1	-1
1	symm21	-1	1	14	no	1	6	2	-1	-1
1	symm91	-1	2	7	no	2	6	2	-1	-1
1	symm63	-1	2	1	no	3	6	2	-1	-1
1	symm42	-1	1	12	no	4	6	2	-1	-1
1	symm8	-1	1	10	no	5	6	2	-1	-1
1	symm88	-1	2	5	no	6	6	2	-1	-1
1	symm4	-1	1	8	no	1	7	1	-1	-1
1	symm2	-1	1	1	no	2	7	1	-1	-1
1	symm64	-1	2	13	no	3	7	1	-1	-1
1	symm67	-1	2	6	no	4	7	1	-1	-1
1	symm24	-1	1	4	no	5	7	1	-1	-1
1	symm26	-1	1	3	no	6	7	1	-1	-1
1	symm66	-1	2	0	no	7	7	1	-1	-1
1	symm93	-1	2	7	no	1	7	2	-1	-1
1	symm1	-1	1	12	no	2	7	2	-1	-1
1	symm20	-1	1	15	no	3	7	2	-1	-1
1	symm78	-1	2	10	no	4	7	2	-1	-1
1	symm61	-1	2	8	no	5	7	2	-1	-1
1	symm36	-1	1	5	no	6	7	2	-1	-1
1	symm86	-1	2	3	no	7	7	2	-1	-1
1	symm5	-1	1	14	no	1	8	1	-1	-1
1	symm53	-1	2	5	no	2	8	1	-1	-1
1	symm70	-1	2	3	no	3	8	1	-1	-1
1	symm32	-1	1	11	no	4	8	1	-1	-1
1	symm60	-1	2	13	no	5	8	1	-1	-1
1	symm59	-1	2	8	no	6	8	1	-1	-1
1	symm27	-1	1	0	no	7	8	1	-1	-1
1	symm14	-1	1	2	no	8	8	1	-1	-1
1	symm30	-1	1	1	no	1	8	2	-1	-1
1	symm56	-1	2	10	no	2	8	2	-1	-1
1	symm31	-1	1	4	no	3	8	2	-1	-1
1	symm3	-1	1	6	no	4	8	2	-1	-1
1	symm62	-1	2	15	no	5	8	2	-1	-1
1	symm38	-1	1	12	no	6	8	2	-1	-1
1	symm92	-1	2	9	no	7	8	2	-1	-1
1	symm95	-1	2	7	no	8	8	2	-1	-1
1	symm100	-1	2	14	no	1	9	1	-1	-1
1	symm46	-1	1	3	no	2	9	1	-1	-1
1	symm104	-1	2	1	no	3	9	1	-1	-1
1	symm99	-1	2	13	no	4	9	1	-1	-1
1	symm51	-1	1	4	no	5	9	1	-1	-1
1	symm102	-1	2	15	no	6	9	1	-1	-1
1	symm96	-1	2	7	no	7	9	1	-1	-1
1	symm47	-1	1	0	no	8	9	1	-1	-1
1	symm101	-1	2	8	no	9	9	1	-1	-1
1	symm45	-1	1	2	no	1	9	2	-1	-1
1	symm97	-1	2	11	no	2	9	2	-1	-1
1	symm52	-1	1	9	no	3	9	2	-1	-1
1	symm103	-1	2	5	no	4	9	2	-1	-1
1	symm50	-1	1	12	no	5	9	2	-1	-1
1	symm44	-1	1	0	no	6	9	2	-1	-1
1	symm98	-1	2	7	no	7	9	2	-1	-1
1	symm49	-1	1	8	no	8	9	2	-1	-1
1	symm48	-1	1	13	no	9	9	2	-1	-1
