Weight	Equation	Result	Answer	WordRem	PracticeMode	SpanSque	Span	SpanGroup	EquationLev	WordSque
1	3+6-2=	6	2	虎	yes	1	2	1	1	3
1	4+3-5=	2	1	鼠	yes	2	2	1	1	1
1	2+7-3=	6	1	猪	no	1	2	1	1	12
1	2+3-1=	3	2	马	no	2	2	1	1	7
1	2+7-3=	7	2	猴	no	1	2	2	1	9
1	5+4-7=	1	2	狗	no	2	2	2	1	11
1	5+1-4=	2	1	鸡	no	1	2	3	1	10
1	2+5-3=	3	2	蛇	no	2	2	3	1	6
1	7+2-5=	4	1	牛	no	1	3	1	1	2
1	2+6-1=	5	2	羊	no	2	3	1	1	8
1	8+1-2=	7	1	龙	no	3	3	1	1	5
1	3+5-4=	4	1	虎	no	1	3	2	1	3
1	6+1-4=	4	2	兔	no	2	3	2	1	4
1	1+8-4=	4	2	马	no	3	3	2	1	7
1	13+4-6=	11	1	蛇	no	1	4	1	2	6
1	7+5-1=	11	1	猪	no	2	4	1	2	12
1	5+2-3=	5	2	鸡	no	3	4	1	2	10
1	11+5-8=	9	2	猴	no	4	4	1	2	9
1	15+3-2=	16	1	鼠	no	1	4	2	2	1
1	7+1-3=	6	2	狗	no	2	4	2	2	11
1	11+6-9=	9	2	马	no	3	4	2	2	7
1	8+4-2=	10	1	兔	no	4	4	2	2	4
1	12+5-4=	13	1	虎	no	1	5	1	2	3
1	4+2-3=	3	1	龙	no	2	5	1	2	5
1	7+6-1=	11	2	鸡	no	3	5	1	2	10
1	6+3-4=	4	2	羊	no	4	5	1	2	8
1	13+3-9=	7	1	狗	no	5	5	1	2	11
1	16+2-3=	14	2	猴	no	1	5	2	2	9
1	16+3-7=	12	1	蛇	no	2	5	2	2	6
1	9+8-3=	14	1	牛	no	3	5	2	2	2
1	8+5-2=	11	1	鼠	no	4	5	2	2	1
1	15+2-8=	8	2	猪	no	5	5	2	2	12
1	22+4-10=	15	2	鼠	no	1	6	1	3	1
1	36+8-40=	3	2	蛇	no	2	6	1	3	6
1	39+10-2=	47	1	羊	no	3	6	1	3	8
1	28+10-4=	33	2	牛	no	4	6	1	3	2
1	15+8-20=	3	1	鸡	no	5	6	1	3	10
1	15+30-8=	37	1	虎	no	6	6	1	3	3
1	36+2-20=	18	1	猪	no	1	6	2	3	12
1	29+10-2=	36	2	马	no	2	6	2	3	7
1	26+6-20=	11	2	龙	no	3	6	2	3	5
1	33+4-30=	7	1	狗	no	4	6	2	3	11
1	28+10-9=	30	2	兔	no	5	6	2	3	4
1	22+10-4=	29	2	猴	no	6	6	2	3	9
1	27+10-2=	35	1	猪	no	1	7	1	3	12
1	19+20-1=	28	2	蛇	no	2	7	1	3	6
1	38+9-30=	17	1	虎	no	3	7	1	3	3
1	24+20-9=	35	1	狗	no	4	7	1	3	11
1	12+3-10=	5	1	猴	no	5	7	1	3	9
1	15+20-9=	26	1	羊	no	6	7	1	3	8
1	41+7-10=	37	2	兔	no	7	7	1	3	4
1	46+1-10=	37	1	鼠	no	1	7	2	3	1
1	34+9-40=	4	2	马	no	2	7	2	3	7
1	34+4-30=	8	1	龙	no	3	7	2	3	5
1	36+10-6=	40	1	牛	no	4	7	2	3	2
1	23+20-5=	37	2	鸡	no	5	7	2	3	10
1	31+10-9=	31	2	兔	no	6	7	2	3	4
1	17+6-10=	13	1	狗	no	7	7	2	3	11
1	22+10-3=	29	1	龙	no	1	8	1	3	5
1	17+4-10=	12	2	鸡	no	2	8	1	3	10
1	21+6-20=	8	2	蛇	no	3	8	1	3	6
1	31+5-10=	25	2	鼠	no	4	8	1	3	1
1	18+5-20=	3	1	虎	no	5	8	1	3	3
1	21+10-6=	25	1	猪	no	6	8	1	3	12
1	25+1-20=	5	2	猴	no	7	8	1	3	9
1	35+3-10=	28	1	牛	no	8	8	1	3	2
1	27+4-10=	22	2	龙	no	1	8	2	3	5
1	17+30-2=	45	1	鸡	no	2	8	2	3	10
1	26+9-30=	6	2	蛇	no	3	8	2	3	6
1	16+10-2=	24	1	羊	no	4	8	2	3	8
1	25+10-1=	33	2	鼠	no	5	8	2	3	1
1	33+10-8=	34	2	兔	no	6	8	2	3	4
1	27+20-4=	42	2	猪	no	7	8	2	3	12
1	31+10-5=	36	1	猴	no	8	8	2	3	9
1	26+3-10=	20	2	虎	no	1	9	1	3	3
1	37+5-40=	3	2	狗	no	2	9	1	3	11
1	33+10-4=	40	2	牛	no	3	9	1	3	2
1	17+5-20=	3	2	马	no	4	9	1	3	7
1	16+20-2=	34	1	龙	no	5	9	1	3	5
1	18+20-1=	26	2	鸡	no	6	9	1	3	10
1	14+30-6=	38	1	羊	no	7	9	1	3	8
1	15+10-4=	20	2	猪	no	8	9	1	3	12
1	31+7-30=	8	1	蛇	no	9	9	1	3	6
1	14+7-20=	1	1	马	no	1	9	2	3	7
1	28+5-20=	13	1	牛	no	2	9	2	3	2
1	14+30-2=	41	2	兔	no	3	9	2	3	4
1	27+20-7=	40	1	猴	no	4	9	2	3	9
1	27+1-20=	9	2	鼠	no	5	9	2	3	1
1	13+8-20=	2	2	虎	no	6	9	2	3	3
1	11+20-9=	22	1	狗	no	7	9	2	3	11
1	13+20-6=	17	1	蛇	no	8	9	2	3	6
1	32+5-20=	18	2	鸡	no	9	9	2	3	10
